Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.08,10.65,109.47,2.08,5.36,79.66,0,-0.1,-74.56,79,0,0.1,175,1523,100.17,
2,17,2.1,10.8,109.5,2.1,5.31,90.83,0,-0.1,-74.56,103,0,0.1,176,1506,100.01,
3,28,2.11,10.96,109.59,2.12,5.27,114.2,0,-0.1,-74.56,152,0,0.1,177,1485,99.67,
4,39,2.13,11.11,109.72,2.14,5.22,146.33,0,-0.1,-74.56,221,0,0.1,179,1465,99.19,
5,50,2.14,11.26,109.87,2.16,5.18,192.73,0,-0.1,-74.56,320,0,0.1,182,1448,98.51,
6,61,2.16,11.39,110.09,2.18,5.14,246.38,0,-0.1,-74.56,436,0,0.1,185,1428,97.73,
7,73,2.17,11.52,110.36,2.21,5.09,316.39,0,-0.1,-74.56,589,0,0.1,189,1409,96.72,
8,84,2.17,11.59,110.62,2.23,5.05,392.05,0,-0.1,-74.56,754,0,0.1,195,1393,95.63,
9,96,2.18,11.72,110.98,2.26,5,486.04,0,-0.1,-74.56,960,0,0.1,202,1375,94.3,
10,107,2.19,11.9,111.39,2.29,4.96,583.84,0,-0.1,-74.56,1173,0,0.1,210,1356,92.92,
11,119,2.2,12.57,111.76,2.32,4.91,701.56,0.01,-0.1,-74.56,1426,0,0.1,221,1341,91.29,
12,131,2.21,12.36,112.25,2.35,4.87,820.93,0.03,-0.1,-74.56,1685,0,0.1,230,1322,89.66,
13,143,2.22,12.66,112.79,2.38,4.82,961.81,0.05,-0.1,-74.55,1986,0,0.1,243,1303,87.76,
14,154,2.24,13.79,113.26,2.41,4.78,1102.33,0.07,-0.1,-74.55,2282,0,0.1,255,1289,85.9,
15,167,2.25,13.16,113.86,2.45,4.73,1265.84,0.1,-0.1,-74.55,2637,0,0.1,267,1270,83.78,
16,179,2.26,13.54,114.52,2.49,4.69,1427.43,0.14,-0.1,-74.54,2984,0,0.11,280,1251,81.73,
17,192,2.29,13.67,115.07,2.52,4.64,1614.05,0.19,-0.1,-74.54,3391,0,0.11,294,1236,79.4,
18,205,2.3,14.22,115.79,2.56,4.6,1797.17,0.25,-0.1,-74.53,3790,0,0.11,307,1217,77.17,
19,219,2.33,14.21,116.54,2.61,4.56,2007.5,0.31,-0.1,-74.53,4262,0,0.12,321,1198,74.68,
20,232,2.36,14.16,117.17,2.64,4.51,2213.03,0.38,-0.1,-74.52,4730,0,0.12,334,1182,72.3,
21,247,2.37,14.27,117.97,2.69,4.47,2448.43,0.47,-0.1,-74.51,5273,0,0.12,348,1162,69.66,
22,261,2.38,14.5,118.82,2.74,4.42,2677.7,0.55,-0.1,-74.51,5809,0,0.13,361,1142,67.16,
23,276,2.39,14.45,119.51,2.78,4.38,2939.21,0.64,-0.1,-74.5,6426,0,0.13,375,1125,64.4,
24,289,2.4,14.61,120.38,2.83,4.33,3192.89,0.74,-0.1,-74.49,7030,0,0.13,389,1104,61.81,
25,305,2.4,14.59,121.28,2.88,4.29,3481.2,0.85,-0.1,-74.48,7722,0,0.13,403,1082,58.97,
26,318,2.39,14.39,122.01,2.93,4.25,3759.79,0.96,-0.1,-74.47,8390,0,0.14,416,1064,56.33,
27,333,2.4,14.53,122.92,2.98,4.2,4075.06,1.08,-0.1,-74.45,9151,0,0.14,431,1041,53.45,
28,348,2.46,15.09,123.85,3.04,4.16,4378.82,1.2,-0.1,-74.44,9904,0,0.14,444,1017,50.8,
29,364,2.53,15.68,124.6,3.08,4.11,4722.41,1.34,-0.1,-74.43,10784,0,0.14,459,997,47.92,
30,379,2.56,15.97,125.52,3.14,4.07,5053.48,1.47,-0.1,-74.42,11649,0,0.14,474,972,45.28,
31,396,2.6,16.42,126.45,3.2,4.02,5427.62,1.62,-0.1,-74.4,12646,0,0.15,490,945,42.44,
32,412,2.66,16.96,127.18,3.25,3.98,5787.71,1.76,-0.1,-74.39,13630,0,0.15,505,923,39.84,
33,430,2.73,17.66,128.08,3.32,3.93,6194.42,1.92,-0.1,-74.37,14775,0,0.15,522,896,37.06,
34,462,4.61,36.13,198.44,5.23,3.87,6591.57,2.08,-0.1,-74.36,16563,0,0.15,552,852,34.51,
35,501,4.76,37.59,199.57,5.34,3.8,7057.45,2.26,-0.1,-74.34,18864,0,0.15,589,812,31.69,
36,538,4.91,39.13,200.97,5.48,3.73,7521.82,2.44,-0.1,-74.32,21256,0,0.16,624,761,29.07,
37,580,5.09,40.88,202.4,5.63,3.66,8063.7,2.65,-0.1,-74.3,24175,0,0.16,665,708,26.25,
38,620,5.23,42.3,203.52,5.76,3.6,8601.19,2.85,-0.1,-74.29,27199,0,0.16,703,663,23.66,
39,665,5.39,43.95,204.87,5.91,3.52,9225.17,3.09,-0.1,-74.26,30831,0,0.17,748,607,20.94,
40,709,5.54,45.48,206.18,6.08,3.46,9840.88,3.32,-0.1,-74.24,34579,0,0.17,790,547,18.56,
41,757,5.7,47.06,207.14,6.21,3.39,10552.48,3.59,-0.1,-74.21,39110,0,0.17,837,498,16.14,
42,803,5.86,48.58,208.25,6.38,3.32,11251.96,3.86,-0.1,-74.19,43774,0,0.18,883,435,14.07,
43,855,6.02,50.24,209.28,6.56,3.25,12057.5,4.16,-0.1,-74.16,49407,0,0.18,934,368,12.02,
44,904,6.18,51.82,210.03,6.7,3.18,12846.65,4.45,-0.1,-74.13,55205,0,0.18,982,313,10.3,
45,959,6.37,53.65,210.85,6.89,3.11,13752.64,4.79,-0.1,-74.1,62219,0,0.18,1037,244,8.62,
46,1012,6.55,55.47,211.59,7.08,3.05,14637.72,5.12,-0.1,-74.07,69464,0,0.19,1089,171,7.25,
47,1071,6.77,57.63,212.11,7.24,2.98,15651.38,5.49,-0.1,-74.03,78276,0,0.19,1147,110,5.94,
48,1128,6.98,59.77,212.66,7.44,2.91,16639.57,5.86,-0.1,-74,87438,0,0.19,1203,34,4.9,
