Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,7,2.21,11.9,116.21,2.21,5.36,79.8,0,-0.1,-74.56,80,0,0.1,175,1523,100.17
2,19,2.23,12.08,116.25,2.23,5.31,92.43,0,-0.1,-74.56,108,0,0.1,176,1505,99.99
3,31,2.24,12.26,116.35,2.25,5.26,117.95,0,-0.1,-74.56,165,0,0.1,178,1482,99.61
4,43,2.26,12.42,116.5,2.28,5.22,153.64,0,-0.1,-74.56,246,0,0.1,180,1461,99.09
5,56,2.28,12.58,116.67,2.3,5.17,205.25,0,-0.1,-74.56,364,0,0.1,184,1444,98.33
6,68,2.29,12.71,116.94,2.33,5.12,265,0,-0.1,-74.56,501,0,0.1,188,1422,97.46
7,81,2.3,12.83,117.26,2.36,5.07,341.34,0,-0.1,-74.56,678,0,0.1,193,1402,96.36
8,94,2.31,12.96,117.56,2.38,5.03,427.23,0,-0.1,-74.56,877,0,0.1,200,1386,95.13
9,107,2.32,13.12,117.99,2.41,4.98,529.63,0,-0.1,-74.56,1113,0,0.1,209,1365,93.68
10,120,2.33,13.3,118.48,2.45,4.93,640.56,0.01,-0.1,-74.56,1371,0,0.1,219,1345,92.14
11,133,2.34,13.53,118.91,2.48,4.88,769.03,0.02,-0.1,-74.56,1668,0,0.1,230,1329,90.37
12,146,2.36,13.64,119.5,2.52,4.84,907.9,0.04,-0.1,-74.55,1993,0,0.11,241,1310,88.49
13,160,2.37,13.87,120.13,2.56,4.79,1059.86,0.05,-0.1,-74.55,2352,0,0.11,252,1290,86.47
14,173,2.38,14.24,120.68,2.59,4.74,1221.31,0.08,-0.1,-74.55,2727,0,0.11,265,1274,84.36
15,187,2.41,14.34,121.42,2.63,4.7,1402.45,0.11,-0.1,-74.55,3155,0,0.12,278,1254,82.04
16,201,2.42,14.68,122.19,2.68,4.65,1593.22,0.14,-0.1,-74.54,3606,0,0.13,292,1234,79.66
17,215,2.45,14.85,122.84,2.72,4.6,1797.26,0.19,-0.1,-74.54,4098,0,0.13,305,1218,77.18
18,230,2.47,15.03,123.71,2.77,4.55,2014.9,0.23,-0.1,-74.54,4630,0,0.14,319,1198,74.6
19,245,2.47,15.18,124.59,2.82,4.51,2246.18,0.29,-0.1,-74.53,5194,0,0.14,333,1177,71.93
20,260,2.48,15.66,125.34,2.86,4.46,2490.76,0.35,-0.1,-74.52,5776,0,0.15,349,1160,69.2
21,275,2.51,15.84,126.3,2.92,4.41,2748.55,0.42,-0.1,-74.52,6403,0,0.16,364,1138,66.41
22,290,2.54,16.01,127.27,2.97,4.37,3014.33,0.5,-0.1,-74.51,7060,0,0.17,380,1116,63.63
23,306,2.52,16.37,128.07,3.02,4.32,3310.78,0.59,-0.1,-74.5,7783,0,0.17,396,1098,60.64
24,321,2.54,16.29,129.09,3.08,4.27,3603.26,0.68,-0.1,-74.49,8500,0,0.18,412,1074,57.8
25,338,2.61,16.77,130.1,3.14,4.22,3915.48,0.79,-0.1,-74.48,9300,0,0.19,428,1050,54.89
26,355,2.7,17.68,130.93,3.19,4.18,4242.39,0.9,-0.1,-74.47,10164,0,0.19,445,1030,51.98
27,372,2.72,18.18,131.97,3.26,4.13,4584.68,1.02,-0.1,-74.46,11084,0,0.2,463,1004,49.06
28,390,2.79,18.55,133,3.32,4.08,4942.68,1.15,-0.1,-74.45,12079,0,0.21,481,978,46.15
29,410,2.84,19.05,133.83,3.38,4.03,5324.7,1.29,-0.1,-74.43,13164,0,0.21,500,955,43.21
