Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,7,2.14,11.27,112.84,2.15,5.36,79.65,0,-0.1,-74.56,80,0,0.1,175,1523,100.17,
2,18,2.16,11.44,112.87,2.16,5.31,91.49,0,-0.1,-74.56,105,0,0.1,176,1506,100,
3,30,2.18,11.61,112.97,2.19,5.26,116.24,0,-0.1,-74.56,159,0,0.1,177,1483,99.64,
4,41,2.19,11.76,113.08,2.2,5.22,150.27,0,-0.1,-74.56,234,0,0.1,180,1466,99.14,
5,53,2.21,11.92,113.28,2.23,5.17,199.4,0,-0.1,-74.56,343,0,0.1,183,1445,98.42,
6,65,2.22,12.06,113.53,2.26,5.13,256.23,0,-0.1,-74.56,470,0,0.1,186,1424,97.59,
7,77,2.24,12.19,113.77,2.28,5.08,330.36,0,-0.1,-74.56,636,0,0.1,191,1408,96.52,
8,89,2.24,12.27,114.12,2.31,5.04,410.5,0,-0.1,-74.56,817,0,0.1,196,1388,95.37,
9,102,2.25,12.58,114.52,2.34,4.99,509.97,0,-0.1,-74.56,1040,0,0.1,205,1368,93.96,
10,113,2.25,12.71,114.88,2.37,4.94,613.27,0.01,-0.1,-74.56,1270,0,0.1,214,1353,92.51,
11,126,2.27,12.9,115.39,2.4,4.9,737.46,0.02,-0.1,-74.56,1545,0,0.1,226,1333,90.8,
12,138,2.28,13.47,115.82,2.43,4.85,863.48,0.03,-0.1,-74.55,1825,0,0.1,237,1317,89.08,
13,151,2.3,13.41,116.42,2.47,4.81,1012.32,0.05,-0.1,-74.55,2159,0,0.1,249,1298,87.09,
14,164,2.31,13.59,116.92,2.5,4.76,1161.25,0.08,-0.1,-74.55,2495,0,0.11,260,1282,85.14,
15,177,2.34,13.67,117.6,2.54,4.71,1335.15,0.11,-0.1,-74.55,2890,0,0.11,273,1263,82.9,
16,190,2.35,13.94,118.33,2.58,4.67,1507.54,0.15,-0.1,-74.54,3286,0,0.11,286,1243,80.72,
17,204,2.36,14.4,118.93,2.62,4.62,1707.22,0.2,-0.1,-74.54,3744,0,0.12,300,1227,78.26,
18,218,2.41,14.39,119.74,2.66,4.58,1903.6,0.25,-0.1,-74.53,4208,0,0.12,312,1207,75.91,
19,233,2.42,14.65,120.58,2.71,4.53,2129.9,0.31,-0.1,-74.53,4746,0,0.13,327,1187,73.26,
20,247,2.42,14.86,121.27,2.75,4.49,2351.44,0.37,-0.1,-74.52,5277,0,0.13,340,1171,70.74,
21,261,2.41,15.61,122.18,2.8,4.44,2604.63,0.45,-0.1,-74.52,5856,0,0.14,356,1149,67.95,
22,276,2.46,15.36,122.91,2.85,4.39,2850.06,0.52,-0.1,-74.51,6436,0,0.14,370,1132,65.33,
