Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.01,9.97,106.1,2.02,5.36,79.58,0,-0.1,-74.56,79,0,0.1,175,1524,100.17,
2,10,1.26,2.59,64.01,1.22,5.33,87.88,0,-0.1,-74.56,91,0,0.1,175,1511,100.05,
3,10,1.15,1.5,60.67,1.17,5.31,98.24,0,-0.1,-74.56,101,0,0.1,175,1501,99.9,
4,12,1.15,1.52,60.69,1.17,5.28,108.96,0,-0.1,-74.56,114,0,0.1,175,1492,99.74,
5,13,1.08,0.81,55.66,1.08,5.26,121.77,0,-0.1,-74.56,128,0,0.1,175,1481,99.55,
6,14,1.08,0.85,55.68,1.08,5.24,134.38,0,-0.1,-74.56,141,0,0.1,175,1470,99.36,
7,14,1.09,0.91,55.71,1.09,5.21,148.95,0,-0.1,-74.56,157,0,0.1,175,1461,99.15,
8,15,1.09,0.95,55.74,1.09,5.19,163.27,0,-0.1,-74.56,173,0,0.1,176,1450,98.94,
9,16,1.1,1.01,55.77,1.1,5.17,179.79,0,-0.1,-74.56,191,0,0.1,176,1440,98.69,
10,17,1.1,1.06,55.8,1.1,5.15,196.01,0,-0.1,-74.56,209,0,0.1,176,1431,98.46,
11,19,1.11,1.11,55.84,1.11,5.12,214.7,0,-0.1,-74.56,230,0,0.1,176,1420,98.18,
12,20,1.11,1.16,55.87,1.12,5.1,233.03,0,-0.1,-74.56,250,0,0.1,176,1411,97.91,
13,21,1.12,1.22,55.91,1.12,5.08,254.11,0,-0.1,-74.56,274,0,0.1,176,1401,97.61,
14,22,1.12,1.27,55.95,1.13,5.06,274.75,0,-0.1,-74.56,297,0,0.1,176,1392,97.31,
15,23,1.13,1.33,56,1.13,5.03,298.43,0,-0.1,-74.56,324,0,0.1,176,1381,96.96,
16,25,1.13,1.38,56.05,1.14,5.01,321.58,0,-0.1,-74.56,351,0,0.1,177,1370,96.63,
17,26,1.14,1.44,56.09,1.15,4.99,348.11,0,-0.1,-74.56,381,0,0.1,177,1361,96.25,
18,28,1.15,1.48,56.15,1.15,4.97,373.98,0,-0.1,-74.56,411,0,0.1,177,1351,95.88,
19,29,1.15,1.62,56.21,1.16,4.94,403.56,0,-0.1,-74.56,445,0,0.1,178,1340,95.45,
20,31,1.16,1.75,56.26,1.16,4.92,432.34,0,-0.1,-74.56,478,0,0.1,178,1331,95.04,
21,32,1.16,1.69,56.33,1.17,4.9,465.19,0,-0.1,-74.56,517,0,0.1,179,1320,94.58,
22,34,1.17,1.8,56.38,1.18,4.88,497.12,0,-0.1,-74.56,554,0,0.1,180,1311,94.12,
23,36,1.18,1.82,56.45,1.19,4.85,533.51,0,-0.1,-74.56,597,0,0.1,181,1300,93.61,
24,38,1.18,1.88,56.52,1.19,4.83,568.81,0,-0.1,-74.56,639,0,0.1,181,1292,93.11,
25,40,1.19,1.94,56.6,1.2,4.81,608.97,0.01,-0.1,-74.56,687,0,0.1,182,1281,92.55,
26,42,1.19,1.99,56.68,1.21,4.78,647.86,0.01,-0.1,-74.56,734,0,0.1,183,1270,92.01,
27,44,1.2,2.05,56.75,1.21,4.76,692.04,0.01,-0.1,-74.56,787,0,0.1,184,1261,91.4,
28,46,1.2,2.1,56.84,1.22,4.74,734.76,0.02,-0.1,-74.56,839,0,0.1,185,1250,90.81,
29,48,1.21,2.17,56.94,1.23,4.72,783.21,0.02,-0.1,-74.56,898,0,0.1,186,1239,90.15,
30,53,1.67,6.62,79.49,1.73,4.69,830.89,0.03,-0.1,-74.56,970,0,0.1,188,1228,89.5,
31,60,1.71,7.07,79.64,1.74,4.66,889.33,0.03,-0.1,-74.55,1071,0,0.1,190,1212,88.71,
32,67,1.72,7.21,79.79,1.76,4.63,950.05,0.04,-0.1,-74.55,1176,0,0.1,194,1199,87.9,
33,74,1.73,7.28,79.99,1.77,4.59,1023.24,0.04,-0.1,-74.55,1303,0,0.1,197,1184,86.93,
34,82,1.74,7.52,80.16,1.79,4.56,1097.68,0.05,-0.1,-74.55,1432,0,0.11,202,1171,85.95,
35,89,1.75,7.52,80.4,1.81,4.53,1185.86,0.06,-0.1,-74.55,1587,0,0.11,207,1155,84.8,
36,97,1.76,7.73,80.66,1.83,4.5,1274.27,0.08,-0.1,-74.55,1742,0,0.11,212,1140,83.66,
37,104,1.76,7.78,80.88,1.84,4.47,1377.71,0.09,-0.1,-74.55,1925,0,0.12,217,1127,82.34,
38,112,1.77,8,81.17,1.86,4.44,1480.31,0.11,-0.1,-74.55,2106,0,0.12,223,1111,81.05,
39,120,1.78,8.06,81.48,1.89,4.4,1599.19,0.13,-0.1,-74.55,2317,0,0.13,230,1096,79.57,
40,128,1.78,8.28,81.75,1.9,4.37,1716.05,0.15,-0.1,-74.54,2524,0,0.13,236,1083,78.14,
41,136,1.8,8.3,82.1,1.93,4.34,1850.35,0.18,-0.1,-74.54,2763,0,0.14,244,1067,76.52,
42,144,1.8,8.46,82.39,1.95,4.31,1981.57,0.21,-0.1,-74.54,2998,0,0.15,251,1054,74.97,
43,153,1.81,8.61,82.77,1.97,4.28,2131.61,0.24,-0.1,-74.53,3266,0,0.16,259,1038,73.22,
44,161,1.82,8.65,83.08,1.99,4.25,2277.45,0.28,-0.1,-74.53,3530,0,0.17,266,1025,71.56,
45,169,1.82,8.6,83.5,2.02,4.22,2443.53,0.32,-0.1,-74.53,3832,0,0.18,274,1009,69.7,
46,178,1.83,8.7,83.92,2.04,4.19,2604.37,0.37,-0.1,-74.52,4127,0,0.18,281,992,67.94,
47,187,1.84,8.75,84.27,2.07,4.15,2786.89,0.42,-0.1,-74.52,4463,0,0.19,289,979,65.98,
48,195,1.86,9.14,84.71,2.09,4.12,2963.1,0.47,-0.1,-74.51,4790,0,0.2,297,962,64.14,
49,205,1.88,9.69,85.17,2.12,4.09,3162.38,0.53,-0.1,-74.51,5158,0,0.21,306,945,62.1,
50,213,1.89,9.88,85.55,2.15,4.06,3353.94,0.59,-0.1,-74.5,5509,0,0.22,315,930,60.19,
51,223,1.9,10.19,86.02,2.18,4.03,3569.8,0.66,-0.1,-74.49,5911,0,0.23,325,913,58.1,
52,232,1.91,9.76,86.41,2.2,4,3776.87,0.73,-0.1,-74.49,6302,0,0.24,334,898,56.15,
53,243,1.92,10.13,86.9,2.23,3.96,4009.87,0.81,-0.1,-74.48,6743,0,0.25,345,879,54.02,
54,252,1.93,10.03,87.29,2.26,3.93,4233.07,0.89,-0.1,-74.47,7171,0,0.26,354,864,52.04,
55,266,2.81,18.56,125.96,3.29,3.9,4484.49,0.98,-0.1,-74.46,7749,0,0.27,367,842,49.88,
56,298,4.66,36.62,191.97,5.1,3.83,4736.98,1.08,-0.1,-74.45,8832,0,0.29,396,799,47.79,
57,336,4.66,36.61,192.97,5.21,3.76,5045.39,1.19,-0.1,-74.44,10274,0,0.31,431,759,45.34,
58,372,4.77,37.64,194.28,5.35,3.7,5363.25,1.31,-0.1,-74.43,11803,0,0.33,464,708,42.91,
59,411,4.84,38.4,195.67,5.5,3.63,5744.54,1.45,-0.1,-74.42,13683,0,0.35,501,655,40.14,
60,449,5.04,40.57,196.85,5.63,3.56,6131.41,1.6,-0.1,-74.41,15647,0,0.37,538,611,37.48,
61,492,5.15,41.53,198.34,5.79,3.49,6589.45,1.77,-0.1,-74.39,18059,0,0.38,579,555,34.52,
62,533,5.32,43.22,199.58,5.93,3.42,7049.53,1.94,-0.1,-74.37,20584,0,0.4,619,508,31.74,
63,579,5.51,45.15,201.11,6.1,3.35,7590.08,2.14,-0.1,-74.35,23696,0,0.42,664,448,28.71,
64,624,5.68,46.76,202.33,6.25,3.29,8129.63,2.35,-0.1,-74.33,26950,0,0.43,707,398,25.92,
65,674,5.83,48.3,203.86,6.44,3.21,8759.79,2.59,-0.1,-74.31,30915,0,0.44,755,332,22.95,
66,721,6,49.93,205.31,6.64,3.15,9385.03,2.82,-0.1,-74.29,35032,0,0.46,802,265,20.3,
67,774,6.19,51.87,206.42,6.81,3.08,10111.36,3.1,-0.1,-74.26,40056,0,0.47,854,208,17.6,
68,825,6.39,53.77,207.68,7.02,3.01,10828.76,3.37,-0.1,-74.24,45286,0,0.48,904,136,15.29,
69,883,6.6,55.87,208.83,7.24,2.94,11658.84,3.68,-0.1,-74.21,51677,0,0.49,961,61,13,
70,929,4.47,35.04,0,0,2.88,12475.13,3.98,-0.1,-74.18,57343,0,0.5,1006,0,11.08,
71,914,0.53,14.08,0,0,2.88,13369.95,4.32,-0.1,-74.15,56775,0,0.5,992,0,9.29,
72,901,0.47,13.46,0,0,2.88,14183.07,4.62,-0.1,-74.12,56327,0,0.5,980,0,7.92,
73,888,0.42,12.85,0,0,2.88,15034.06,4.94,-0.1,-74.09,55919,0,0.5,967,0,6.7,
74,876,0.35,12.22,0,0,2.88,15839.7,5.25,-0.1,-74.06,55596,0,0.5,956,0,5.72,
75,864,0.29,11.66,0,0,2.88,16666.33,5.56,-0.1,-74.03,55320,0,0.5,945,0,4.87,
76,853,0.26,11.25,0,0,2.88,17449.59,5.86,-0.1,-74,55102,0,0.49,934,0,4.18,
77,842,0.22,10.88,0,0,2.88,18253.81,6.17,-0.1,-73.97,54913,0,0.49,924,0,3.57,
78,832,0.19,10.57,0,0,2.88,19016.25,6.46,-0.11,-73.94,54763,0,0.49,914,0,3.08,
79,822,0.16,10.31,0,0,2.88,19799.43,6.77,-0.11,-73.91,54633,0,0.49,905,0,2.65,
80,812,0.14,10.1,0,0,2.88,20542.15,7.06,-0.11,-73.88,54529,0,0.49,896,0,2.3,
81,802,0.12,9.91,0,0,2.88,21320.09,7.36,-0.11,-73.85,54436,0,0.49,887,0,1.99,
82,793,0.11,9.75,0,0,2.88,22028.99,7.64,-0.11,-73.83,54364,0,0.49,878,0,1.74,
83,784,0.09,9.61,0,0,2.88,22787.15,7.94,-0.11,-73.8,54299,0,0.49,869,0,1.5,
84,775,0.08,9.5,0,0,2.88,23478.04,8.22,-0.11,-73.77,54249,0,0.49,861,0,1.32,
85,766,0.07,9.39,0,0,2.88,24216.93,8.52,-0.11,-73.74,54203,0,0.49,853,0,1.15,
86,757,0.06,9.31,0,0,2.88,24890.23,8.79,-0.11,-73.72,54167,0,0.49,845,0,1.01,
87,748,0.06,9.23,0,0,2.88,25610.23,9.08,-0.11,-73.69,54134,0,0.49,837,0,0.89,
88,740,0.05,9.16,0,0,2.88,26266.24,9.35,-0.11,-73.66,54108,0,0.49,829,0,0.79,
89,731,0.05,9.1,0,0,2.88,26967.65,9.64,-0.11,-73.64,54085,0,0.49,821,0,0.69,
90,723,0.04,9.05,0,0,2.88,27606.62,9.91,-0.11,-73.61,54066,0,0.49,814,0,0.62,
91,714,0.04,8.99,0,0,2.88,28289.68,10.2,-0.11,-73.58,54050,0,0.49,806,0,0.55,
92,706,0.03,8.95,0,0,2.88,28911.79,10.47,-0.11,-73.56,54037,0,0.49,799,0,0.49,
93,697,0.03,8.91,0,0,2.88,29576.69,10.75,-0.11,-73.53,54025,0,0.49,791,0,0.43,
94,689,0.03,8.87,0,0,2.88,30182.12,11.02,-0.11,-73.51,54015,0,0.49,784,0,0.39,
95,681,0.02,8.84,0,0,2.88,30829.01,11.3,-0.11,-73.48,54006,0,0.49,776,0,0.35,
96,673,0.02,8.81,0,0,2.88,31417.87,11.56,-0.11,-73.45,54000,0,0.49,769,0,0.32,
