Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,7,2.11,10.96,111.15,2.11,5.36,79.61,0,-0.1,-74.56,79,0,0.1,175,1523,100.17,
2,17,2.13,11.14,111.19,2.13,5.31,91.1,0,-0.1,-74.56,104,0,0.1,177,1505,100,
3,29,2.15,11.29,111.28,2.15,5.27,115.13,0,-0.1,-74.56,155,0,0.1,178,1484,99.65,
4,40,2.16,11.44,111.39,2.17,5.22,148.18,0,-0.1,-74.56,227,0,0.1,181,1467,99.17,
5,52,2.18,11.59,111.58,2.2,5.18,195.9,0,-0.1,-74.56,331,0,0.1,184,1446,98.47,
6,63,2.19,11.74,111.82,2.22,5.13,251.08,0.01,-0.1,-74.56,452,0,0.1,188,1426,97.66,
7,75,2.19,11.91,112.05,2.24,5.09,322.98,0.01,-0.1,-74.56,610,0,0.1,195,1409,96.62,
8,86,2.21,12.22,112.39,2.27,5.04,400.39,0.02,-0.1,-74.56,778,0,0.1,203,1390,95.51,
9,99,2.22,12.31,112.69,2.3,4.99,496.27,0.03,-0.1,-74.55,989,0,0.1,212,1374,94.15,
10,111,2.23,12.41,113.12,2.33,4.95,596.03,0.04,-0.1,-74.55,1210,0,0.1,221,1354,92.75,
11,124,2.25,12.58,113.6,2.36,4.9,716.46,0.06,-0.1,-74.55,1479,0,0.1,230,1335,91.09,
12,136,2.26,12.71,114.02,2.39,4.86,839.18,0.08,-0.1,-74.55,1756,0,0.1,240,1320,89.41,
13,149,2.28,12.84,114.59,2.42,4.81,984.8,0.11,-0.1,-74.55,2086,0,0.1,250,1301,87.46,
14,161,2.28,12.89,115.09,2.46,4.77,1130.98,0.14,-0.1,-74.54,2419,0,0.1,260,1285,85.53,
15,174,2.28,13.75,115.74,2.5,4.72,1300.94,0.18,-0.1,-74.54,2775,0,0.11,275,1266,83.33,
16,186,2.3,14.45,116.44,2.54,4.68,1468.63,0.22,-0.1,-74.54,3144,0,0.11,287,1247,81.21,
17,200,2.32,14.2,117.03,2.57,4.63,1661.96,0.27,-0.1,-74.53,3568,0,0.11,302,1231,78.81,
18,213,2.34,14.29,117.79,2.62,4.59,1851.34,0.33,-0.1,-74.53,3985,0,0.12,315,1212,76.53,
19,228,2.37,14.56,118.43,2.65,4.54,2068.7,0.41,-0.1,-74.52,4477,0,0.12,330,1195,73.97,
20,241,2.4,14.76,119.25,2.7,4.5,2281.11,0.48,-0.1,-74.51,4971,0,0.12,343,1175,71.53,
21,256,2.41,14.77,120.1,2.75,4.45,2524.27,0.57,-0.1,-74.5,5540,0,0.13,358,1155,68.83,
