Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.08,10.64,109.47,2.08,5.36,79.59,0,-0.1,-74.56,79,0,0.1,175,1523,100.17,
2,17,2.1,10.8,109.5,2.1,5.31,90.75,0,-0.1,-74.56,103,0,0.1,176,1507,100.01,
3,28,2.11,10.96,109.58,2.12,5.27,114.11,0,-0.1,-74.56,152,0,0.1,178,1487,99.67,
4,39,2.13,11.11,109.71,2.14,5.22,146.22,0,-0.1,-74.56,221,0,0.1,180,1467,99.19,
5,50,2.14,11.26,109.89,2.16,5.18,192.6,0,-0.1,-74.56,320,0,0.1,183,1447,98.52,
6,61,2.16,11.39,110.11,2.19,5.14,246.24,0,-0.1,-74.56,436,0,0.1,186,1427,97.73,
7,73,2.17,11.52,110.37,2.21,5.09,316.22,0,-0.1,-74.56,588,0,0.1,190,1408,96.72,
8,84,2.18,11.64,110.62,2.23,5.05,391.89,0,-0.1,-74.56,754,0,0.1,196,1393,95.64,
9,96,2.18,11.71,110.97,2.26,5,485.93,0.01,-0.1,-74.56,960,0,0.1,202,1375,94.3,
10,107,2.19,11.97,111.38,2.29,4.96,583.78,0.01,-0.1,-74.56,1173,0,0.1,210,1356,92.92,
11,119,2.2,12.29,111.82,2.32,4.91,701.55,0.02,-0.1,-74.56,1427,0,0.1,221,1338,91.29,
12,131,2.21,12.29,112.2,2.35,4.87,821.11,0.03,-0.1,-74.55,1689,0,0.1,230,1324,89.66,
13,143,2.23,12.48,112.72,2.38,4.82,962.67,0.05,-0.1,-74.55,2001,0,0.1,241,1306,87.75,
14,155,2.25,12.61,113.29,2.41,4.78,1104.67,0.07,-0.1,-74.55,2319,0,0.1,251,1288,85.87,
15,168,2.27,12.86,113.91,2.45,4.73,1270.94,0.09,-0.1,-74.55,2693,0,0.1,262,1270,83.72,
16,181,2.28,13.02,114.55,2.49,4.69,1436.06,0.12,-0.1,-74.55,3067,0,0.1,273,1252,81.62,
17,194,2.31,13.18,115.24,2.53,4.64,1627.68,0.16,-0.1,-74.54,3508,0,0.1,285,1233,79.24,
18,207,2.32,13.48,115.81,2.56,4.6,1816.49,0.2,-0.1,-74.54,3941,0,0.11,296,1219,76.94,
19,220,2.33,13.77,116.56,2.6,4.56,2034.09,0.24,-0.1,-74.53,4447,0,0.11,309,1200,74.37,
20,233,2.35,13.88,117.36,2.65,4.51,2246.91,0.29,-0.1,-74.53,4940,0,0.11,322,1181,71.92,
21,248,2.38,14.12,118.17,2.7,4.47,2490.79,0.34,-0.1,-74.52,5519,0,0.11,335,1162,69.19,
22,261,2.39,14.27,118.83,2.73,4.42,2728.43,0.4,-0.1,-74.52,6087,0,0.11,348,1147,66.62,
23,276,2.41,14.31,119.69,2.78,4.38,2999.53,0.47,-0.1,-74.51,6742,0,0.12,362,1127,63.78,
24,290,2.44,14.65,120.57,2.83,4.33,3262.67,0.54,-0.1,-74.51,7386,0,0.12,375,1106,61.11,
25,305,2.41,14.93,121.49,2.89,4.29,3561.56,0.62,-0.1,-74.5,8099,0,0.12,390,1085,58.2,
26,318,2.37,15.08,122.39,2.94,4.25,3849.48,0.7,-0.1,-74.49,8761,0,0.13,405,1063,55.5,
