Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,[LABEL]: ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,18.0,5.0,-199.99,2000.14,0.29,34.28,0,0
0:02,18.0,5.0,-199.99,1997.97,-2.33,34.4,0,0
0:03,18.0,5.0,-199.99,1996.02,-1.89,34.51,0,0
0:04,18.0,5.0,-199.99,1994.22,-1.6,34.62,0,0
0:05,18.0,5.0,-199.99,1992.12,-2.19,34.74,0,0
0:06,18.0,5.0,-199.99,1990.16,-1.92,34.85,0,0
0:07,18.0,5.0,-199.99,1988.1,-2.12,34.97,0,0
0:08,18.0,5.0,-199.99,1986.04,-2.11,35.08,0,0
0:09,18.0,5.0,-199.99,1983.82,-2.43,35.21,0,0
0:10,18.0,5.0,-199.99,1981.67,-2.29,35.33,0,0
0:11,18.0,5.0,-199.99,1979.7,-1.93,35.45,0,0
0:12,18.0,5.0,-199.99,1977.76,-1.88,35.56,0,0
0:13,18.0,5.0,-199.99,1976.0,-1.52,35.66,0,0
0:14,18.0,5.0,-199.99,1973.76,-2.47,35.79,0,0
0:15,18.0,5.0,-199.99,1971.79,-1.94,35.9,0,0
0:16,18.0,5.0,-199.99,1969.81,-1.95,36.01,0,0
0:17,18.0,5.0,-199.99,1967.6,-2.41,36.14,0,0
0:18,18.0,5.0,-199.99,1965.65,-1.9,36.25,0,0
0:19,18.0,5.0,-199.99,1963.52,-2.26,36.37,0,0
0:20,18.0,5.0,-199.99,1961.53,-1.97,36.48,0,0
0:21,18.0,5.0,-199.99,1959.53,-1.99,36.6,0,0
0:22,18.0,5.0,-199.99,1957.4,-2.26,36.72,0,0
0:23,18.0,5.0,-199.99,1955.64,-1.52,36.82,0,0
0:24,18.0,5.0,-199.99,1953.78,-1.72,36.93,0,0
0:25,18.0,5.0,-199.99,1951.67,-2.21,37.05,0,0
0:26,18.0,5.0,-199.99,1949.59,-2.16,37.17,0,0
0:27,18.0,5.0,-199.99,1947.35,-2.48,37.29,0,0
0:28,18.0,5.0,-199.99,1945.2,-2.3,37.42,0,0
0:29,18.0,5.0,-199.99,1943.03,-2.33,37.54,0,0
0:30,18.0,5.0,-199.99,1940.81,-2.43,37.67,0,0
0:31,18.0,5.0,-199.99,1938.96,-1.69,37.77,0,0
0:32,18.0,5.0,-199.99,1936.81,-2.29,37.9,0,0
0:33,18.0,5.0,-199.99,1935.02,-1.58,38.0,0,0
0:34,18.0,5.0,-199.99,1932.91,-2.21,38.12,0,0
0:35,18.0,5.0,-199.99,1930.84,-2.14,38.24,0,0
0:36,18.0,5.0,-199.99,1928.74,-2.19,38.36,0,0
0:37,18.0,5.0,-199.99,1926.53,-2.41,38.48,0,0
0:38,18.0,5.0,-199.99,1924.55,-1.95,38.6,0,0
0:39,18.0,5.0,-199.99,1922.44,-2.21,38.72,0,0
0:40,18.0,5.0,-199.99,1920.35,-2.17,38.84,0,0
0:41,18.0,5.0,-199.99,1918.48,-1.74,38.94,0,0
0:42,18.0,5.0,-199.99,1916.52,-1.92,39.06,0,0
0:43,18.0,5.0,-199.99,1914.62,-1.8,39.16,0,0
0:44,18.0,5.0,-199.99,1912.54,-2.15,39.28,0,0
0:45,18.0,5.0,-199.99,1910.44,-2.19,39.4,0,0
0:46,18.0,5.0,-199.99,1908.23,-2.41,39.53,0,0
0:47,18.0,5.0,-199.99,1906.26,-1.93,39.64,0,0
0:48,18.0,5.0,-199.99,1904.14,-2.23,39.76,0,0
0:49,18.0,5.0,-199.99,1902.09,-2.09,39.88,0,0
0:50,18.0,5.0,-199.99,1900.18,-1.82,39.99,0,0
0:51,18.0,5.0,-199.99,1898.01,-2.33,40.11,0,0
0:52,18.0,5.0,-199.99,1895.95,-2.11,40.23,0,0
0:53,18.0,5.0,-199.99,1893.75,-2.4,40.36,0,0
0:54,18.0,5.0,-199.99,1891.72,-2.05,40.47,0,0
0:55,18.0,5.0,-199.99,1889.63,-2.18,40.59,0,0
0:56,18.0,5.0,-199.99,1887.88,-1.5,40.69,0,0
0:57,18.0,5.0,-199.99,1886.02,-1.72,40.8,0,0
0:58,18.0,5.0,-199.99,1884.12,-1.79,40.91,0,0
0:59,18.0,5.0,-199.99,1882.36,-1.51,41.01,0,0
1:00,18.0,5.0,-199.99,1880.36,-2.0,41.12,0,0
1:01,18.0,5.0,-199.99,1878.22,-2.28,41.24,0,0
1:02,18.0,5.0,-199.99,1876.2,-2.03,41.36,0,0
1:03,18.0,5.0,-199.99,1874.3,-1.79,41.47,0,0
1:04,18.0,5.0,-199.99,1872.15,-2.3,41.59,0,0
1:05,18.0,5.0,-199.99,1870.09,-2.12,41.71,0,0
1:06,18.0,5.0,-199.99,1867.91,-2.36,41.83,0,0
1:07,18.0,5.0,-199.99,1866.02,-1.78,41.94,0,0
1:08,18.0,5.0,-199.99,1864.15,-1.74,42.05,0,0
1:09,18.0,5.0,-199.99,1862.22,-1.85,42.16,0,0
1:10,18.0,5.0,-199.99,1860.35,-1.73,42.27,0,0
1:11,18.0,5.0,-199.99,1858.46,-1.78,42.37,0,0
1:12,18.0,5.0,-199.99,1856.35,-2.22,42.49,0,0
1:13,18.0,5.0,-199.99,1854.53,-1.63,42.6,0,0
1:14,18.0,5.0,-199.99,1852.46,-2.14,42.72,0,0
1:15,18.0,5.0,-199.99,1850.6,-1.72,42.82,0,0
1:16,18.0,5.0,-199.99,1848.58,-2.03,42.94,0,0
1:17,18.0,5.0,-199.99,1846.68,-1.79,43.05,0,0
1:18,18.0,5.0,-199.99,1844.76,-1.83,43.16,0,0
1:19,18.0,5.0,-199.99,1842.63,-2.26,43.28,0,0
1:20,18.0,5.0,-199.99,1840.47,-2.32,43.4,0,0
1:21,18.0,5.0,-199.99,1838.43,-2.08,43.52,0,0
1:22,18.0,5.0,-199.99,1836.27,-2.31,43.64,0,0
1:23,18.0,5.0,-199.99,1834.27,-1.99,43.76,0,0
1:24,18.0,5.0,-199.99,1832.47,-1.59,43.86,0,0
1:25,18.0,5.0,-199.99,1830.36,-2.22,43.98,0,0
1:26,18.0,5.0,-199.99,1828.53,-1.66,44.08,0,0
1:27,18.0,5.0,-199.99,1826.69,-1.67,44.19,0,0
1:28,18.0,5.0,-199.99,1824.52,-2.33,44.31,0,0
1:29,18.0,5.0,-199.99,1822.56,-1.91,44.43,0,0
1:30,18.0,5.0,-199.99,1820.33,-2.45,44.55,0,0
1:31,18.0,5.0,-199.99,1818.46,-1.73,44.66,0,0
1:32,18.0,5.0,-199.99,1816.22,-2.48,44.79,0,0
1:33,18.0,5.0,-199.99,1814.21,-2.01,44.9,0,0
