Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.08,10.64,109.46,2.08,5.36,79.43,0,-0.1,-74.56,79,0,0.1,175,1525,100.17,
2,16,2.1,10.8,109.51,2.1,5.31,90.51,0,-0.1,-74.56,102,0,0.1,176,1504,100.01,
3,28,2.11,11.15,109.6,2.12,5.27,113.61,0,-0.1,-74.56,151,0,0.1,178,1483,99.67,
4,38,2.12,11.61,109.71,2.14,5.23,145.16,0,-0.1,-74.56,216,0,0.1,184,1467,99.21,
5,50,2.14,12.11,109.88,2.16,5.18,190.14,0.01,-0.1,-74.56,309,0,0.1,193,1446,98.55,
6,61,2.15,12.52,110.05,2.18,5.14,242.47,0.03,-0.1,-74.56,414,0,0.11,203,1430,97.79,
7,73,2.17,12.52,110.3,2.21,5.09,305.75,0.05,-0.1,-74.55,543,0,0.12,213,1411,96.87,
8,85,2.17,12.68,110.6,2.23,5.05,379.22,0.08,-0.1,-74.55,694,0,0.14,223,1391,95.81,
9,98,2.18,12.64,110.94,2.26,5,464.75,0.12,-0.1,-74.55,871,0,0.15,234,1372,94.6,
10,110,2.18,12.66,111.25,2.28,4.96,555.09,0.16,-0.1,-74.54,1058,0,0.16,244,1357,93.32,
11,123,2.19,12.67,111.67,2.32,4.91,663.86,0.22,-0.1,-74.54,1286,0,0.17,256,1337,91.81,
12,135,2.2,12.68,112.04,2.34,4.87,774.44,0.27,-0.1,-74.53,1519,0,0.18,266,1322,90.29,
13,148,2.21,12.73,112.54,2.38,4.82,902.79,0.34,-0.1,-74.53,1792,0,0.19,277,1303,88.55,
14,161,2.22,12.79,113.08,2.41,4.78,1039.65,0.41,-0.1,-74.52,2086,0,0.2,288,1284,86.73,
15,174,2.23,12.87,113.55,2.44,4.74,1187.61,0.49,-0.1,-74.51,2406,0,0.21,299,1269,84.79,
16,186,2.24,12.95,114.16,2.48,4.69,1343.54,0.57,-0.1,-74.5,2748,0,0.22,310,1250,82.79,
17,200,2.25,12.98,114.82,2.52,4.65,1521.08,0.67,-0.1,-74.49,3141,0,0.23,322,1231,80.55,
18,212,2.32,13.13,115.38,2.55,4.6,1696.66,0.76,-0.1,-74.49,3554,0,0.23,330,1215,78.39,
19,224,2.44,14.4,116.1,2.59,4.56,1900.9,0.86,-0.1,-74.48,4058,0,0.24,337,1196,75.94,
