Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,7,2.14,11.27,112.84,2.15,5.36,79.65,0,-0.1,-74.56,79,0,0.1,175,1523,38.59409231
2,18,2.16,11.44,112.87,2.16,5.31,91.62,0,-0.1,-74.56,105,0,0.1,176,1506,92.41622573
3,30,2.18,11.61,112.97,2.18,5.26,116.37,0,-0.1,-74.56,159,0,0.1,177,1484,51.29286673
4,41,2.19,11.76,113.11,2.21,5.22,150.4,0,-0.1,-74.56,234,0,0.1,180,1463,68.08905769
5,53,2.21,11.92,113.31,2.23,5.17,199.54,0,-0.1,-74.56,343,0,0.1,183,1442,78.68340202
6,65,2.22,12.06,113.51,2.25,5.13,256.36,0,-0.1,-74.56,470,0,0.1,186,1426,78.36664199
7,77,2.24,12.19,113.81,2.28,5.08,328.94,0,-0.1,-74.56,633,0,0.1,191,1406,61.55556827
8,89,2.25,12.31,114.09,2.31,5.04,410.64,0,-0.1,-74.56,817,0,0.1,196,1390,48.38234518
9,102,2.24,12.39,114.48,2.34,4.99,508.09,0,-0.1,-74.56,1036,0,0.1,204,1370,64.67314919
10,113,2.26,13.48,114.93,2.37,4.94,613.23,0.01,-0.1,-74.56,1264,0,0.1,216,1351,0.711041249
11,125,2.26,13.28,115.32,2.4,4.9,734.03,0.02,-0.1,-74.56,1523,0,0.1,228,1335,83.6935857
12,137,2.28,14.07,115.85,2.43,4.85,860.84,0.04,-0.1,-74.55,1792,0,0.11,241,1316,14.68336337
13,150,2.31,13.37,116.43,2.47,4.81,1004.4,0.07,-0.1,-74.55,2115,0,0.11,253,1297,36.38494601
14,163,2.31,13.54,116.92,2.5,4.76,1154.18,0.1,-0.1,-74.55,2453,0,0.12,265,1281,12.31736267
15,176,2.33,14.1,117.58,2.54,4.71,1321.77,0.14,-0.1,-74.54,2815,0,0.12,279,1262,95.50584419
16,189,2.34,14.78,118.28,2.58,4.67,1494.25,0.19,-0.1,-74.54,3201,0,0.13,293,1242,56.19578129
17,204,2.38,14.46,118.87,2.62,4.62,1685.86,0.25,-0.1,-74.53,3638,0,0.14,307,1227,69.86272128
18,217,2.38,14.97,119.64,2.66,4.58,1881.73,0.32,-0.1,-74.53,4075,0,0.14,321,1207,50.176382
19,232,2.41,15.05,120.45,2.71,4.53,2097.89,0.39,-0.1,-74.52,4575,0,0.15,336,1187,13.35505126
20,247,2.44,15.22,121.12,2.75,4.49,2317.72,0.48,-0.1,-74.51,5087,0,0.15,350,1170,12.85456458
21,262,2.45,15.42,121.98,2.8,4.44,2559.48,0.57,-0.1,-74.5,5658,0,0.16,365,1150,17.12658772
22,277,2.46,15.45,122.88,2.85,4.39,2804.37,0.67,-0.1,-74.49,6242,0,0.17,380,1128,27.51832643
23,292,2.47,15.53,123.61,2.89,4.35,3072.53,0.78,-0.1,-74.48,6887,0,0.17,395,1110,33.46088771
24,307,2.47,15.46,124.53,2.95,4.3,3343.07,0.89,-0.1,-74.47,7542,0,0.18,410,1088,71.10563664
25,323,2.45,15.22,125.49,3,4.26,3638.04,1.02,-0.1,-74.46,8255,0,0.18,425,1065,20.41229137
26,338,2.47,15.42,126.26,3.05,4.21,3934.31,1.15,-0.1,-74.45,8979,0,0.19,439,1046,0.628860631
27,354,2.54,16.05,127.22,3.11,4.16,4256.52,1.29,-0.1,-74.43,9790,0,0.19,455,1022,88.69753673
28,370,2.59,16.46,128.2,3.17,4.12,4580.06,1.43,-0.1,-74.42,10630,0,0.19,470,996,74.47176241
29,387,2.62,16.77,128.98,3.22,4.07,4931.83,1.59,-0.1,-74.41,11560,0,0.2,487,975,48.35082517
30,403,2.67,17.21,129.93,3.29,4.03,5284.63,1.75,-0.1,-74.39,12513,0,0.2,503,948,4.170579993
31,421,2.73,17.82,130.9,3.35,3.98,5667.8,1.92,-0.1,-74.37,13577,0,0.21,520,920,59.14408409
32,439,2.8,18.5,131.67,3.4,3.93,6051.92,2.09,-0.1,-74.36,14677,0,0.21,537,897,58.81326115
33,459,2.87,19.24,132.6,3.47,3.89,6469.05,2.28,-0.1,-74.34,15909,0,0.21,555,867,1.922140462
34,486,4.49,35.06,199.3,5.3,3.83,6889.38,2.47,-0.1,-74.32,17562,0,0.22,582,828,8.69969734
35,525,4.84,38.59,200.41,5.41,3.76,7359.89,2.68,-0.1,-74.3,19919,0,0.22,619,788,31.00405275
36,564,5.01,40.22,201.79,5.56,3.7,7847.26,2.89,-0.1,-74.28,22470,0,0.23,656,736,16.77299065
37,606,5.17,41.82,203.18,5.71,3.63,8392.86,3.13,-0.1,-74.26,25455,0,0.23,697,681,51.56901312
38,648,5.3,43.11,204.27,5.83,3.56,8955.28,3.38,-0.1,-74.24,28657,0,0.24,738,636,93.23155137
39,693,5.45,44.6,205.57,5.99,3.49,9581.76,3.65,-0.1,-74.21,32375,0,0.24,781,578,89.47047448
40,738,5.6,46.13,206.8,6.16,3.42,10224.54,3.93,-0.1,-74.18,36362,0,0.25,825,517,67.15236223
41,786,5.77,47.75,207.72,6.3,3.35,10937.61,4.23,-0.1,-74.15,40993,0,0.25,872,467,88.16238088
42,834,5.92,49.32,208.77,6.47,3.28,11666.5,4.54,-0.1,-74.12,45956,0,0.26,919,403,45.99197315
43,886,6.09,51.01,209.73,6.65,3.21,12488.58,4.89,-0.1,-74.09,51835,0,0.26,971,335,2.946652049
44,936,6.26,52.64,210.43,6.79,3.15,13293.29,5.22,-0.1,-74.06,57892,0,0.27,1020,279,71.33809908
45,991,6.45,54.51,211.2,6.98,3.08,14198.21,5.6,-0.1,-74.02,65080,0,0.27,1074,209,78.10178739
46,1046,6.64,56.46,211.89,7.17,3.01,15117.79,5.98,-0.1,-73.99,72825,0,0.27,1128,134,66.27565218
47,1106,6.87,58.71,212.47,7.37,2.94,16149.47,6.4,-0.1,-73.95,82085,0,0.28,1188,59,81.32874147
48,1153,3.82,28.87,0,0,2.88,17175.12,6.82,-0.1,-73.91,90015,0,0.28,1234,0,82.7070021
49,1141,0.35,12.09,0,0,2.88,18232.04,7.25,-0.1,-73.86,89520,0,0.28,1222,0,59.32412469
50,1129,0.28,11.44,0,0,2.88,19256.88,7.67,-0.1,-73.82,89140,0,0.28,1211,0,26.32644086
51,1118,0.24,10.94,0,0,2.88,20312.62,8.11,-0.1,-73.78,88825,0,0.28,1201,0,27.07318244
52,1108,0.19,10.53,0,0,2.88,21337.27,8.53,-0.1,-73.74,88577,0,0.28,1191,0,50.69249021
53,1098,0.16,10.19,0,0,2.88,22352,8.94,-0.1,-73.7,88380,0,0.28,1181,0,86.70236299
54,1089,0.13,9.92,0,0,2.88,23357.11,9.36,-0.1,-73.66,88222,0,0.28,1172,0,55.12776351
55,1079,0.11,9.7,0,0,2.88,24352.82,9.77,-0.1,-73.62,88095,0,0.28,1163,0,9.562842007
56,1070,0.09,9.53,0,0,2.88,25319.7,10.17,-0.1,-73.59,87994,0,0.28,1155,0,45.74823941
57,1061,0.07,9.37,0,0,2.88,26336.28,10.59,-0.1,-73.55,87907,0,0.28,1146,0,92.8895768
58,1053,0.06,9.25,0,0,2.88,27266.11,10.98,-0.1,-73.51,87842,0,0.28,1138,0,87.78807055
59,1044,0.05,9.14,0,0,2.88,28245.19,11.39,-0.1,-73.47,87786,0,0.28,1130,0,86.05017896
60,1035,0.04,9.04,0,0,2.88,29196.28,11.79,-0.1,-73.43,87742,0,0.28,1122,0,64.49569385
61,1027,0.04,8.97,0,0,2.88,30138.78,12.19,-0.1,-73.39,87705,0,0.28,1114,0,76.9966529
62,1019,0.03,8.9,0,0,2.88,31054.13,12.58,-0.1,-73.36,87676,0,0.28,1107,0,63.14876937
63,1010,0.03,8.84,0,0,2.88,31998.21,12.98,-0.11,-73.32,87651,0,0.28,1099,0,58.9889272
64,1002,0.02,8.79,0,0,2.88,32915.26,13.37,-0.11,-73.28,87631,0,0.28,1091,0,88.52346847
65,994,0.02,8.74,0,0,2.88,33823.95,13.76,-0.11,-73.24,87614,0,0.28,1084,0,7.862291999
66,986,0.02,8.7,0,0,2.88,34706.37,14.15,-0.11,-73.21,87601,0,0.28,1076,0,90.56181876
67,978,0.01,8.65,0,0,2.88,35634.11,14.55,-0.11,-73.17,87589,0,0.28,1069,0,41.49007195
68,970,0.01,8.62,0,0,2.88,36482.56,14.92,-0.11,-73.13,87579,0,0.28,1061,0,56.77794268
69,962,0.01,8.58,0,0,2.88,37393.16,15.32,-0.11,-73.09,87571,0,0.28,1054,0,57.43453723
70,954,0.01,8.55,0,0,2.88,38225.85,15.68,-0.11,-73.06,87564,0,0.28,1047,0,20.22006016
71,946,0.01,8.52,0,0,2.88,39119.44,16.08,-0.11,-73.02,87558,0,0.28,1039,0,11.18862111
72,938,0.01,8.49,0,0,2.88,39936.49,16.44,-0.11,-72.99,87554,0,0.28,1033,0,2.111369922
73,930,0.01,8.47,0,0,2.88,40813.18,16.84,-0.11,-72.95,87549,0,0.28,1025,0,8.010870244
74,923,0.01,8.44,0,0,2.88,41614.68,17.2,-0.11,-72.92,87546,0,0.28,1018,0,92.78117582
75,915,0.01,8.41,0,0,2.88,42474.58,17.59,-0.11,-72.88,87543,0,0.28,1011,0,40.4395328
76,908,0.01,8.39,0,0,2.88,43260.63,17.95,-0.11,-72.84,87540,0,0.28,1004,0,88.61162096
77,900,0,8.37,0,0,2.88,44103.83,18.33,-0.11,-72.81,87538,0,0.28,997,0,58.83617755
78,892,0,8.34,0,0,2.88,44874.51,18.69,-0.11,-72.77,87536,0,0.28,990,0,70.87732063
79,884,0,8.32,0,0,2.88,45701.11,19.07,-0.11,-72.74,87534,0,0.28,983,0,57.80911887
80,877,0,8.3,0,0,2.88,46456.49,19.42,-0.11,-72.7,87532,0,0.28,977,0,91.83786444
81,869,0,8.28,0,0,2.88,47266.57,19.81,-0.11,-72.67,87531,0,0.28,970,0,30.18495265
82,862,0,8.26,0,0,2.88,48006.74,20.16,-0.11,-72.63,87530,0,0.28,963,0,11.09479139
83,855,0,8.23,0,0,2.88,48800.38,20.53,-0.11,-72.6,87528,0,0.28,956,0,77.08856893
84,847,0,8.22,0,0,2.88,49525.42,20.88,-0.11,-72.56,87527,0,0.28,950,0,72.8502639
85,840,0,8.19,0,0,2.88,50302.7,21.26,-0.11,-72.53,87527,0,0.28,943,0,62.40987521
86,833,0,8.18,0,0,2.88,51012.66,21.6,-0.11,-72.49,87526,0,0.28,937,0,32.65226888
87,825,0,8.16,0,0,2.88,51773.66,21.98,-0.11,-72.46,87525,0,0.28,930,0,95.79145577
88,818,0,8.14,0,0,2.88,52468.62,22.32,-0.11,-72.43,87525,0,0.28,924,0,91.05050035
89,811,0,8.12,0,0,2.88,53213.4,22.69,-0.11,-72.39,87524,0,0.28,917,0,52.12147393
90,804,0,8.1,0,0,2.88,53893.43,23.03,-0.11,-72.36,87524,0,0.28,911,0,2.353864477
91,796,0,8.08,0,0,2.88,54608.14,23.39,-0.11,-72.32,87523,0,0.28,904,0,65.30552405
92,789,0,8.06,0,0,2.88,55287.24,23.74,-0.11,-72.29,87523,0,0.28,898,0,86.00616084
93,782,0,8.05,0,0,2.88,55999.8,24.1,-0.11,-72.26,87523,0,0.28,892,0,27.30858407
94,775,0,8.03,0,0,2.88,56650.16,24.44,-0.11,-72.22,87522,0,0.28,886,0,94.93433369
95,768,0,8.01,0,0,2.88,57346.71,24.8,-0.11,-72.19,87522,0,0.28,879,0,2.125775329
96,761,0,8,0,0,2.88,57982.32,25.14,-0.11,-72.16,87522,0,0.28,873,0,49.88171693
97,754,0,7.98,0,0,2.88,58662.93,25.5,-0.11,-72.12,87521,0,0.28,867,0,4.504220489
