Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,7,2.21,11.27,112.84,2.15,5.36,79.65,0,-0.1,-74.56,79,0,0.1,175,1523,100.17
2,18,2.23,11.44,112.87,2.16,5.31,91.62,0,-0.1,-74.56,105,0,0.1,176,1506,100
3,30,2.24,11.61,112.97,2.18,5.26,116.37,0,-0.1,-74.56,159,0,0.1,177,1484,99.63
4,41,2.26,11.76,113.11,2.21,5.22,150.4,0,-0.1,-74.56,234,0,0.1,180,1463,99.13
5,53,2.28,11.92,113.31,2.23,5.17,199.54,0,-0.1,-74.56,343,0,0.1,183,1442,98.41
6,65,2.29,12.06,113.51,2.25,5.13,256.36,0,-0.1,-74.56,470,0,0.1,186,1426,97.59
7,77,2.31,12.19,113.81,2.28,5.08,328.94,0,-0.1,-74.56,633,0,0.1,191,1406,96.54
8,89,2.31,12.31,114.09,2.31,5.04,410.64,0,-0.1,-74.56,817,0,0.1,196,1390,95.37
9,102,2.31,12.39,114.48,2.34,4.99,508.09,0,-0.1,-74.56,1036,0,0.1,204,1370,93.99
10,113,2.33,13.48,114.93,2.37,4.94,613.23,0.01,-0.1,-74.56,1264,0,0.1,216,1351,92.51
11,125,2.34,13.28,115.32,2.4,4.9,734.03,0.02,-0.1,-74.56,1523,0,0.1,228,1335,90.84
12,137,2.35,14.07,115.85,2.43,4.85,860.84,0.04,-0.1,-74.55,1792,0,0.11,241,1316,89.12
13,150,2.37,13.37,116.43,2.47,4.81,1004.4,0.07,-0.1,-74.55,2115,0,0.11,253,1297,87.2
14,163,2.4,13.54,116.92,2.5,4.76,1154.18,0.1,-0.1,-74.55,2453,0,0.12,265,1281,85.23
15,176,2.41,14.1,117.58,2.54,4.71,1321.77,0.14,-0.1,-74.54,2815,0,0.12,279,1262,83.07
16,189,2.43,14.78,118.28,2.58,4.67,1494.25,0.19,-0.1,-74.54,3201,0,0.13,293,1242,80.89
17,204,2.45,14.46,118.87,2.62,4.62,1685.86,0.25,-0.1,-74.53,3638,0,0.14,307,1227,78.52
18,217,2.46,14.97,119.64,2.66,4.58,1881.73,0.32,-0.1,-74.53,4075,0,0.14,321,1207,76.16
19,232,2.48,15.05,120.45,2.71,4.53,2097.89,0.39,-0.1,-74.52,4575,0,0.15,336,1187,73.63
20,247,2.49,15.22,121.12,2.75,4.49,2317.72,0.48,-0.1,-74.51,5087,0,0.15,350,1170,71.12
21,262,2.53,15.42,121.98,2.8,4.44,2559.48,0.57,-0.1,-74.5,5658,0,0.16,365,1150,68.44
22,277,2.54,15.45,122.88,2.85,4.39,2804.37,0.67,-0.1,-74.49,6242,0,0.17,380,1128,65.81
23,292,2.54,15.53,123.61,2.89,4.35,3072.53,0.78,-0.1,-74.48,6887,0,0.17,395,1110,63.03
24,307,2.54,15.46,124.53,2.95,4.3,3343.07,0.89,-0.1,-74.47,7542,0,0.18,410,1088,60.32
25,323,2.6,15.22,125.49,3,4.26,3638.04,1.02,-0.1,-74.46,8255,0,0.18,425,1065,57.47
26,338,2.65,15.42,126.26,3.05,4.21,3934.31,1.15,-0.1,-74.45,8979,0,0.19,439,1046,54.72
27,354,2.74,16.05,127.22,3.11,4.16,4256.52,1.29,-0.1,-74.43,9790,0,0.19,455,1022,51.85
28,370,2.79,16.46,128.2,3.17,4.12,4580.06,1.43,-0.1,-74.42,10630,0,0.19,470,996,49.1
29,387,2.82,16.77,128.98,3.22,4.07,4931.83,1.59,-0.1,-74.41,11560,0,0.2,487,975,46.24
30,403,2.9,17.21,129.93,3.29,4.03,5284.63,1.75,-0.1,-74.39,12513,0,0.2,503,948,43.51
