accelerometer_broken.csv, ['Acceleration'], accelerometer_broken
chute_didnt_set_off.csv, ['Acceleration','Acceleration','AltitudeFromTerrain'], chute_didnt_set_off_and_communication_cut
chute_set_off_early.csv, ['Acceleration','Acceleration','AltitudeFromTerrain'], chute_set_off_early
communication_cut_early.csv, ['Time','AltitudeFromTerrain'], communication_cut_early
communication_drop.csv, ['Time'], communication_drop
decouple_immediately.csv, ['Mass','AltitudeFromTerrain'], decouple_immediately
decoupled_early_and_flipped_out.csv, ['Time','AltitudeFromTerrain','Latitude','Inclination'], decoupled_early_and_flipped_out_and_communication_cut
didnt_break_atmosphere.csv, ['AltitudeFromTerrain'], didnt_break_atmosphere
gforce_sensor_broken.csv, ['GForce'], gforce_sensor_broken
never_decoupled.csv, ['Acceleration','Mass','AltitudeFromTerrain'], never_decoupled
never_went_full_power.csv, ['Thrust','TWR','AltitudeFromTerrain','DownrangeDistance','Apoapsis'], never_went_full_power
no_tilt.csv, ['DownrangeDistance','Apoapsis'], failed_to_tilt_after_launch
parachute_cut.csv, ['Acceleration','Acceleration','AltitudeFromTerrain'], parachute_cut
pressure_sensor_broken.csv, ['Pressure'], pressure_sensor_broken
shot_into_ground_full_speed.csv, ['AltitudeFromTerrain','DownrangeDistance','Inclination'], shot_into_ground_full_speed
thruster_cut_early.csv, ['Thrust','TWR','AltitudeFromTerrain','Apoapsis'], thruster_cut_early
thruster_cut_immediately.csv, ['Thrust','TWR','AltitudeFromTerrain'], thruster_cut_immediately
thruster_detached_early_1.csv, ['Time','Mass'], thruster_detached_early
thruster_max_immediately.csv, ['Time','Thrust','TWR','DownrangeDistance','Longitude'], thruster_max_immediately
thruster_started_weak.csv, ['Thrust','TWR','Apoapsis'], thruster_started_weak
tilted_way_too_far.csv, ['AltitudeFromTerrain','DownrangeDistance','Apoapsis'], tilted_way_too_far
veered_off_course.csv, ['AltitudeFromTerrain','Longitude','Apoapsis'], veered_off_course
thruster_detached_early_2.csv, ['Time','Mass'], thruster_detached_early
thruster_detached_late.csv, ['Time','Mass'], thruster_detached_late
pressure_SEU.csv, ['Pressure'], pressure_single_event_upset
mass_SEU.csv, ['Mass'], mass_single_event_upset
