Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,LABEL_ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,18.0,5.0,200.0,2000.07,0.14,34.28,0,0
0:02,18.0,5.0,200.0,2002.0,1.86,34.17,0,0
0:03,18.0,5.0,200.0,2003.9,1.81,34.06,0,0
0:04,18.0,5.0,200.0,2006.01,2.23,33.94,0,0
0:05,18.0,5.0,200.0,2007.77,1.52,33.84,0,0
0:06,18.0,5.0,200.0,2009.96,2.38,33.72,0,0
0:07,18.0,5.0,200.0,2012.07,2.23,33.6,0,0
0:08,18.0,5.0,200.0,2013.86,1.58,33.49,0,0
0:09,18.0,5.0,200.0,2015.67,1.63,33.39,0,0
0:10,18.0,5.0,200.0,2017.71,2.09,33.27,0,0
0:11,18.0,5.0,200.0,2019.93,2.45,33.15,0,0
0:12,18.0,5.0,200.0,2022.06,2.26,33.03,0,0
0:13,18.0,5.0,200.0,2023.95,1.78,32.92,0,0
0:14,18.0,5.0,200.0,2025.86,1.83,32.81,0,0
0:15,18.0,5.0,200.0,2028.01,2.31,32.69,0,0
0:16,18.0,5.0,200.0,2030.19,2.37,32.56,0,0
0:17,18.0,5.0,200.0,2032.17,1.96,32.45,0,0
0:18,18.0,5.0,200.0,2034.18,2.03,32.33,0,0
0:19,18.0,5.0,200.0,2036.28,2.21,32.21,0,0
0:20,18.0,5.0,200.0,2038.3,2.04,32.1,0,0
0:21,18.0,5.0,200.0,2040.55,2.5,31.97,0,0
0:22,18.0,5.0,200.0,2042.77,2.45,31.84,0,0
0:23,18.0,5.0,200.0,2044.81,2.09,31.73,0,0
0:24,18.0,5.0,200.0,2046.85,2.09,31.61,0,0
0:25,18.0,5.0,200.0,2048.66,1.63,31.51,0,0
0:26,18.0,5.0,200.0,2050.78,2.24,31.38,0,0
0:27,18.0,5.0,200.0,2052.55,1.54,31.28,0,0
0:28,18.0,5.0,200.0,2054.51,1.92,31.17,0,0
0:29,18.0,5.0,200.0,2056.37,1.73,31.06,0,0
0:30,18.0,5.0,200.0,2058.19,1.65,30.96,0,0
0:31,18.0,5.0,200.0,2060.34,2.3,30.84,0,0
0:32,18.0,5.0,200.0,2062.24,1.81,30.73,0,0
0:33,18.0,5.0,200.0,2064.35,2.23,30.61,0,0
0:34,18.0,5.0,200.0,2066.46,2.22,30.49,0,0
0:35,18.0,5.0,200.0,2068.31,1.71,30.38,0,0
0:36,18.0,5.0,200.0,2070.08,1.54,30.28,0,0
0:37,18.0,5.0,200.0,2071.93,1.71,30.18,0,0
0:38,18.0,5.0,200.0,2074.06,2.26,30.05,0,0
0:39,18.0,5.0,200.0,2075.9,1.68,29.95,0,0
0:40,18.0,5.0,200.0,2078.01,2.22,29.83,0,0
0:41,18.0,5.0,200.0,2080.09,2.17,29.71,0,0
0:42,18.0,5.0,200.0,2081.99,1.8,29.6,0,0
0:43,18.0,5.0,200.0,2084.1,2.22,29.48,0,0
0:44,18.0,5.0,200.0,2086.01,1.83,29.37,0,0
0:45,18.0,5.0,200.0,2088.22,2.42,29.24,0,0
0:46,18.0,5.0,200.0,2089.97,1.5,29.14,0,0
0:47,18.0,5.0,200.0,2092.12,2.31,29.02,0,0
0:48,18.0,5.0,200.0,2094.34,2.45,28.89,0,0
0:49,18.0,5.0,200.0,2096.55,2.42,28.77,0,0
0:50,18.0,5.0,200.0,2098.36,1.63,28.67,0,0
0:51,18.0,5.0,200.0,2100.24,1.76,28.56,0,0
0:52,18.0,5.0,200.0,2102.1,1.73,28.45,0,0
0:53,18.0,5.0,200.0,2104.13,2.07,28.34,0,0
0:54,18.0,5.0,200.0,2105.88,1.51,28.24,0,0
0:55,18.0,5.0,200.0,2107.81,1.87,28.13,0,0
0:56,18.0,5.0,200.0,2109.59,1.57,28.02,0,0
0:57,18.0,5.0,200.0,2111.76,2.35,27.9,0,0
0:58,18.0,5.0,200.0,2113.93,2.34,27.78,0,0
0:59,18.0,5.0,200.0,2115.97,2.08,27.66,0,0
1:00,18.0,5.0,200.0,2118.03,2.12,27.54,0,0
1:01,18.0,5.0,200.0,2119.83,1.6,27.44,0,0
1:02,18.0,5.0,200.0,2121.67,1.68,27.33,0,0
1:03,18.0,5.0,200.0,2123.67,2.0,27.22,0,0
1:04,18.0,5.0,200.0,2125.9,2.46,27.09,0,0
1:05,18.0,5.0,200.0,2127.79,1.79,26.98,0,0
1:06,18.0,5.0,200.0,2129.83,2.08,26.87,0,0
1:07,18.0,5.0,200.0,2131.92,2.18,26.75,0,0
1:08,18.0,5.0,200.0,2133.9,1.97,26.63,0,0
1:09,18.0,5.0,200.0,2136.04,2.29,26.51,0,0
1:10,18.0,5.0,200.0,2137.91,1.74,26.41,0,0
1:11,18.0,5.0,200.0,2139.87,1.92,26.29,0,0
1:12,18.0,5.0,200.0,2141.82,1.91,26.18,0,0
1:13,18.0,5.0,200.0,2143.61,1.58,26.08,0,0
1:14,18.0,5.0,200.0,2145.86,2.5,25.95,0,0
1:15,18.0,5.0,200.0,2147.91,2.11,25.83,0,0
1:16,18.0,5.0,200.0,2150.08,2.34,25.71,0,0
